,PC1,PC2,PC3,var_explained
pop_density,-0.37480813446037126,-0.26051275927294953,-0.43767219435817345,"PC1=0.431, PC2=0.192"
house_age,0.540653104959091,-0.17178379715809017,0.0871391948969652,
childcare_pk,-0.17874951150566973,0.6365563005404082,0.5733504569049652,
hospital_bed,0.1840716328343855,0.6593571948796946,-0.5462416994307454,
aging_ratio,0.5346323323901341,-0.17691019378629616,0.26453483633919334,
seoul_proximity,-0.4642710390770488,-0.17711684964206065,0.32211859730739745,
