region_code,cluster,net_rate
11110,2,-7.364474956918479
11140,2,-1.671879962115059
11170,2,-11.917073005690884
11200,2,-11.956985773595108
11215,2,-8.93185107739567
11230,2,-3.6144084743618214
11260,2,-8.61604271967369
11290,2,-6.495941834624272
11305,2,-13.634590208211293
11320,2,-14.605579682393259
11350,2,-16.778276676184536
11380,2,-6.029825796907236
11410,2,-2.3866943891490546
11440,2,-5.8180090759476
11470,2,-12.474958407139118
11500,2,-9.10258688617456
11530,2,-10.12381479237429
11545,2,-4.497972840109209
11560,2,0.0828179020578006
11590,2,-7.974545026064655
11620,2,-5.889946575659843
11650,2,-12.253195402649569
11680,2,-2.4841002271805976
11710,2,-2.8850146031721566
11740,2,8.081838900147803
26110,0,-13.137104685346134
26140,3,-2.799842202992221
26170,1,2.02243230251687
26200,1,-15.252915188429675
26230,3,-2.5693763934011145
26260,3,2.8210168593143696
26290,3,-8.049521491725612
26320,3,-16.91380915861333
26350,3,-11.506623665118571
26380,3,-13.551219112168802
26410,3,-14.457729973079351
26440,3,27.641064759654082
26470,3,5.1436749459899405
26500,3,-2.63507353319234
26530,3,-16.56899265815498
26710,3,12.23940099025564
27110,3,26.085989495427107
27140,3,-1.0109208733636215
27170,0,-19.33652555601194
27200,3,-10.926246478248851
27230,3,-7.308738846318626
27260,3,-8.784543629237833
27290,3,-14.857164899048787
27710,3,16.288577298797097
27720,1,-2.999966435534564
28110,2,45.10301741306497
28140,0,-19.216418605699587
28177,2,-0.23256658410633488
28185,2,21.677603537293216
28200,2,-10.924955155955423
28237,2,-13.356408125773804
28245,2,-19.713388478169712
28260,2,23.98565325033923
28710,1,11.524478698833493
28720,0,-2.4444168792270924
29110,3,16.424312264950984
29140,3,-12.039404178994825
29155,3,-4.912756808116111
29170,3,-4.307257020921622
29200,3,-5.307139444897458
30110,0,-5.670683151567831
30140,2,-11.116658319143614
30170,2,-9.5832629349473
30200,2,5.371092699639938
30230,0,-15.571799029607257
31110,3,-19.14734817260071
31140,3,-14.660431931651303
31170,3,-19.684720429834954
31200,3,8.559029612256829
31710,3,0.10237693099576109
36110,2,50.75163394774427
41110,2,-1.9567987987033466
41130,2,-8.637580905713257
41150,2,7.829883008291965
41170,2,-10.43128094305868
41190,2,-12.875438609964341
41210,2,-25.826520321332524
41220,2,28.112853848563997
41250,0,-9.13132755473665
41270,2,-14.107621194041474
41280,2,3.5860653345243105
41290,2,31.87063692206077
41310,2,-4.4762584061123745
41360,2,12.483627904302272
41370,2,15.285327068978347
41390,2,27.83687528297972
41410,2,-14.866782660385399
41430,2,-2.8685613288257126
41450,2,50.573215443605015
41460,2,10.234166283017935
41480,2,20.972152192171365
41500,2,7.057942513967158
41550,0,9.41200405514122
41570,2,32.637751433597884
41590,2,45.255203028051405
41610,2,21.97160055754702
41630,2,42.1759743796438
41650,0,-6.19861404293157
41670,0,8.045197660026027
41800,0,-7.921784476080711
41820,0,7.560015047992623
41830,0,21.461208092463554
43110,2,2.080454045882927
43130,0,3.3610015657181624
43150,0,-2.64935150849658
43720,1,-1.3243099950796795
43730,1,-0.002535039448115173
43745,0,0.3597305738368357
43750,0,26.839897736951453
43760,1,3.293441991641285
43770,0,-3.1773797297564492
43800,0,-2.014547895984319
44130,2,6.214492757415803
44150,0,-2.6078722029959374
44180,0,-5.573469899726056
44200,2,18.171434334819253
44210,0,3.5199552924820727
44230,0,-7.863748924520824
44250,0,10.29321096898409
44270,0,5.075824036718296
44710,0,-1.4079624595280658
44760,1,-7.435573383900108
44770,1,-5.829023366807328
44790,1,0.8520258117019214
44800,0,3.9460283031714005
44810,1,5.839379154998971
44825,1,0.6808856814031347
46110,3,-12.56231828282009
46130,3,-6.904579815552339
46150,3,-0.16898130819980378
46170,0,16.584611607251627
46230,3,-1.7963333655481302
46710,1,1.4255144302491374
46720,1,-3.8505569439807337
46730,1,-5.095148816901861
46770,1,-0.05229588807638638
46780,1,-9.008368782008352
46790,0,-1.7624343470757484
46800,1,-9.828317185713756
46810,1,-9.114395468663
46820,1,-12.258242769026197
46830,0,-5.944819313975046
46840,0,18.607452274298513
46860,1,-4.433702301204485
46870,1,-2.80268308787685
46880,1,-3.4621599490516544
46890,1,-8.400055017238738
46900,1,-3.400939718147055
46910,1,-1.5243503646462915
47110,3,-4.624100561855863
47130,0,-2.2716169590010473
47150,0,-1.8869587539880148
47170,0,-6.281159528110434
47190,2,-6.4851692887225605
47210,1,-4.8563572554248715
47230,1,3.9918836492911396
47250,1,-2.9912466205645183
47280,1,-4.053049025873293
47290,3,4.891869118366041
47730,1,2.78325092179814
47750,1,-0.6750719941385025
47760,1,-4.033705267040092
47770,1,-6.953675004517777
47820,1,4.241034996789315
47830,1,-6.407169713893142
47840,1,-1.367191120094324
47850,0,-14.781413438012587
47900,1,28.30795366659071
47920,1,-6.001165412955489
47930,1,-6.093238984798064
47940,1,-5.7713039027086035
48170,3,-1.3972682871913944
48220,0,-14.51708905048099
48240,0,-1.6287404693547625
48250,3,-0.006153511646683318
48270,0,-0.6293432074829697
48310,3,-13.37086923577794
48330,3,13.990998527917949
48720,1,0.30660949054226916
48730,0,-11.977665330941468
48740,1,-6.111196702927438
48820,1,-4.983598517015981
48840,1,-0.43955122656346085
48850,1,-12.690374284292854
48860,1,3.2062864102171917
48870,1,-0.6218915101850581
48880,1,0.82851228588643
48890,1,-5.891541004662509
51110,0,4.398602677513547
51130,2,9.453341132573206
51150,0,0.8581574884462941
51170,0,-3.9637165934507856
51190,1,-18.8293768961916
51210,0,2.38478362841866
51230,0,-8.56775586096602
51720,0,0.9238752394974005
51730,0,9.285425367575606
51750,1,-0.5738598495511199
51760,0,-0.32264319877865544
51770,1,-7.752478788552702
51780,0,-17.63429104400915
51790,0,-15.084406529505232
51800,0,-17.057465335791843
51810,0,-3.2138667280827806
51820,1,-5.564016819948282
51830,1,9.780734808051966
52130,0,-5.74623393851857
52140,0,-10.333779915861
52180,0,-6.214234916569986
52190,0,-5.756293896282192
52210,1,-0.6779179466810556
52710,0,9.01819282109876
52720,1,0.29237483241828044
52730,1,1.7254407950743396
52740,1,-6.921652678760692
52750,1,-10.29705657747205
52770,1,-3.5851361429518533
52790,1,-10.275884751750214
52800,1,-9.930985926802638
