,CatBoost,RF_gain,XGBoost,LightGBM,Permutation,consensus_rank
house_age,2.1839751100408797,0.1966732732096493,4.1614366,3.8866734130510388,0.22942311894817918,1.2
childcare_pk,2.405945954871993,0.0869207299818382,1.8284289,2.5059693677122534,0.181643972505112,1.8
closeness,1.6596996784782612,0.057174519829860236,1.3577269,2.1804488872547725,0.15911852166180201,3.6
doctor_per1000,1.4676771000342883,0.05397148271916564,1.0135878,1.5426192211431218,0.12271313682598946,5.4
pagerank_lag1,1.0928599410352096,0.038705154009127336,1.7049168,1.7197297980807353,0.0747996113099357,6.4
aging_ratio,0.8482487081282537,0.04380334860925947,1.0592532,2.2775842645738575,0.051324535539381835,8.0
employ_rate,0.9771719991237205,0.03314600165048581,1.2805754,1.4418097956998643,0.06909632588363991,8.8
seoul_dist_km,1.3099576044364414,0.03216858803743302,1.2921126,0.9797254908915621,0.05262075635476673,9.8
fiscal_indep,0.8932943523671619,0.036299662995762955,0.66514015,1.0780884360160266,0.07456878901467354,10.4
hospital_bed,0.8253657504478502,0.06864072304378709,0.9063966,0.8767186771796568,0.05034506650619338,10.8
fertility,1.0285893420918593,0.041909641019693716,0.43112105,0.9351492289433774,0.0749368361077764,11.2
sewer_supply,0.7389018913179085,0.05037465907783361,0.78471285,1.111467757730591,0.04701205856536637,11.2
pop_density,0.7826138914906349,0.045550891540142184,1.0025762,0.9796269097309376,0.027496336748351023,12.0
senior_fac_pk,0.7673589663155327,0.04320490512728026,0.6209288,0.9018868818698467,0.05420402388571183,12.2
youth_ratio,0.6040462057818367,0.0322124551239109,0.47038472,1.4514924644553766,0.03293574190356187,14.4
biz_count,0.6596631580923288,0.03015100346809148,0.57190603,0.9521368972153066,0.04766366644548368,15.0
extinction_risk,0.6111197412225262,0.026045884912152015,0.5834674,0.8242101041733852,0.05381831120616045,15.4
ln_pop,0.5838025275899134,0.026212204916871592,0.52600944,1.3925710192159,0.02996887493053767,15.8
academy_pk,0.5141944634892136,0.04342664579548975,0.3335052,0.6210835708170865,0.031699783387504496,16.6
culture_facility_count,0.5138370718193241,0.01340822493216547,0.18096086,0.48441460206432985,0.02594628875195677,20.0
