,CatBoost,RF_gain,XGBoost,LightGBM,Permutation
CatBoost,1.0,0.6150375939849624,0.8511278195488722,0.6827067669172933,0.8781954887218045
RF_gain,0.6150375939849624,1.0,0.5864661654135338,0.4842105263157895,0.49774436090225566
XGBoost,0.8511278195488722,0.5864661654135338,1.0,0.7533834586466165,0.6601503759398496
LightGBM,0.6827067669172933,0.4842105263157895,0.7533834586466165,1.0,0.5789473684210527
Permutation,0.8781954887218045,0.49774436090225566,0.6601503759398496,0.5789473684210527,1.0
