region_code,sgg_name,sido,net_rate,pop_density,density_tertile,type
36110,세종시,세종특별자치시,50.75163394774427,759.01875,middle,inflow
41450,하남시,경기도,50.573215443605015,3169.6257981232243,mature,inflow
41590,화성시,경기도,45.255203028051405,1222.6694220800318,middle,inflow
28110,중구,인천광역시,45.10301741306497,3289.599177291421,mature,inflow
41630,양주시,경기도,42.1759743796438,772.5502025796075,middle,inflow
41570,김포시,경기도,32.637751433597884,1658.6384711948879,middle,inflow
41290,과천시,경기도,31.87063692206077,1934.7030860130708,middle,inflow
47900,예천군,경상북도,28.30795366659071,82.13607421435961,growth,inflow
41220,평택시,경기도,28.112853848563997,1189.2667650546964,middle,inflow
41390,시흥시,경기도,27.83687528297972,3504.4431678901296,mature,inflow
26440,강서구,부산광역시,27.641064759654082,1208.7355815785554,middle,inflow
43750,진천군,충청북도,26.839897736951453,202.78913277816426,middle,inflow
27110,중구,대구광역시,26.085989495427107,1890.9013351434699,middle,inflow
28260,서구,인천광역시,23.98565325033923,9706.589024474419,mature,inflow
41610,광주시,경기도,21.97160055754702,879.4147359213189,middle,inflow
28185,연수구,인천광역시,21.677603537293216,6697.679389171885,mature,inflow
41830,양평군,경기도,21.461208092463554,137.06450859831065,growth,inflow
41480,파주시,경기도,20.972152192171365,704.5554419060471,middle,inflow
46840,무안군,전라남도,18.607452274298513,193.37538022028735,middle,inflow
44200,아산시,충청남도,18.171434334819253,602.1630160696989,middle,inflow
41210,광명시,경기도,-25.826520321332524,7832.702508991598,mature,outflow
28245,계양구,인천광역시,-19.713388478169712,6533.5824698789875,mature,outflow
31170,동구,울산광역시,-19.684720429834954,2242.216166842505,mature,outflow
27170,서구,대구광역시,-19.33652555601194,2935.939009599645,mature,outflow
28140,동구,인천광역시,-19.216418605699587,891.7247462186974,middle,outflow
31110,중구,울산광역시,-19.14734817260071,5054.7429829203575,mature,outflow
51190,태백시,강원특별자치도,-18.8293768961916,137.67122705750526,middle,outflow
51780,철원군,강원특별자치도,-17.63429104400915,49.37169100789546,growth,outflow
51800,양구군,강원특별자치도,-17.057465335791843,33.44311532699015,growth,outflow
26320,북구,부산광역시,-16.91380915861333,2771.7514041666477,mature,outflow
11350,노원구,서울특별시,-16.778276676184536,14666.969822555486,mature,outflow
26530,사상구,부산광역시,-16.56899265815498,5875.797290169314,mature,outflow
30230,대덕구,대전광역시,-15.571799029607257,2561.5386018473496,mature,outflow
26200,영도구,부산광역시,-15.252915188429675,7947.177758754622,mature,outflow
51790,화천군,강원특별자치도,-15.084406529505232,26.731384565012988,growth,outflow
41410,군포시,경기도,-14.866782660385399,7412.977278159471,mature,outflow
27290,달서구,대구광역시,-14.857164899048787,8842.139774720656,mature,outflow
47850,칠곡군,경상북도,-14.781413438012587,253.82821249866655,middle,outflow
31140,남구,울산광역시,-14.660431931651303,7208.212716851433,mature,outflow
11320,도봉구,서울특별시,-14.605579682393259,15621.034766063094,mature,outflow
