feature,shap_2017_2020,shap_2021_2024,change
childcare_pk,3.0260923128011714,2.402798778688103,-0.6232935341130683
house_age,2.6990667131957506,1.9534175696021603,-0.7456491435935904
closeness,2.7094321920201847,1.8217266184399579,-0.8877055735802268
sewer_supply,1.9713035702008816,1.774800378788311,-0.19650319141257055
pagerank_lag1,1.744068214921187,1.4105640653964657,-0.3335041495247213
senior_fac_pk,1.2657009021813557,1.2273562405403875,-0.03834466164096817
pop_density,1.2401754932071793,1.1838741011849225,-0.05630139202225681
doctor_per1000,1.3800214393151837,1.1424780423798733,-0.23754339693531046
employ_rate,0.820937135795769,0.9289059276369941,0.1079687918412251
seoul_dist_km,0.957617253708454,0.9004650731481482,-0.0571521805603058
aging_ratio,0.7547363814195135,0.8727711216423716,0.11803474022285809
ln_pop,0.8270886495882566,0.8041919860421736,-0.022896663546082996
hospital_bed,0.9389787254586027,0.7802051105618695,-0.15877361489673325
biz_count,0.7996868334934081,0.7508953399849847,-0.04879149350842338
youth_ratio,0.6232400527993679,0.7449502980966448,0.12171024529727692
fertility,0.9984479475319286,0.6511243435072018,-0.34732360402472673
extinction_risk,0.6429390627214759,0.5688918205656621,-0.07404724215581382
fiscal_indep,0.8973930523297035,0.5610354790557411,-0.3363575732739623
academy_pk,0.5243372458104385,0.47983296517293195,-0.044504280637506555
culture_facility_count,0.5758932034569857,0.4479464756055881,-0.1279467278513976
