model,trial,value,best_so_far
DT,0,0.033683545564817674,0.033683545564817674
DT,1,-0.15991506384824258,0.033683545564817674
DT,2,0.055209358469484195,0.055209358469484195
DT,3,0.04966871301719541,0.055209358469484195
DT,4,-0.22331214614663883,0.055209358469484195
DT,5,-0.052040838092735964,0.055209358469484195
DT,6,-0.010859437802463715,0.055209358469484195
DT,7,0.051254991141091964,0.055209358469484195
DT,8,-0.11233700399177211,0.055209358469484195
DT,9,-0.15613437908400296,0.055209358469484195
DT,10,0.04966871301719541,0.055209358469484195
DT,11,0.06289544828780373,0.06289544828780373
DT,12,0.06289544828780373,0.06289544828780373
DT,13,0.03154937965578327,0.06289544828780373
DT,14,0.02632295202628432,0.06289544828780373
DT,15,-0.05157168388739475,0.06289544828780373
DT,16,0.09583464077287984,0.09583464077287984
DT,17,0.08102588096360257,0.09583464077287984
DT,18,0.06538780312528798,0.09583464077287984
DT,19,0.08102588096360257,0.09583464077287984
DT,20,0.07579922897595333,0.09583464077287984
DT,21,0.08102588096360257,0.09583464077287984
DT,22,0.09946150441670054,0.09946150441670054
DT,23,0.0883017037195027,0.09946150441670054
DT,24,0.08080498480681471,0.09946150441670054
DT,25,0.0883017037195027,0.09946150441670054
DT,26,0.09289722593419199,0.09946150441670054
DT,27,0.063598957308398,0.09946150441670054
DT,28,0.09289722593419199,0.09946150441670054
DT,29,0.063598957308398,0.09946150441670054
DT,30,0.033683545564817674,0.09946150441670054
DT,31,0.09289722593419199,0.09946150441670054
DT,32,0.09946150441670054,0.09946150441670054
DT,33,0.09946150441670054,0.09946150441670054
DT,34,0.09583464077287984,0.09946150441670054
DT,35,0.08403032495419689,0.09946150441670054
DT,36,-0.05828159102630696,0.09946150441670054
DT,37,0.02106118968641509,0.09946150441670054
DT,38,0.09583464077287984,0.09946150441670054
DT,39,0.09858118619051688,0.09946150441670054
DT,40,0.06248954170544082,0.09946150441670054
DT,41,0.09946150441670054,0.09946150441670054
DT,42,0.09946150441670054,0.09946150441670054
DT,43,0.08403032495419689,0.09946150441670054
DT,44,0.09946150441670054,0.09946150441670054
DT,45,0.0666977322292202,0.09946150441670054
DT,46,0.07977854764584691,0.09946150441670054
DT,47,0.011923601027374517,0.09946150441670054
DT,48,0.09883248650844019,0.09946150441670054
DT,49,0.020802635771863365,0.09946150441670054
DT,50,0.05628660827461329,0.09946150441670054
DT,51,0.09946150441670054,0.09946150441670054
DT,52,0.08403032495419689,0.09946150441670054
DT,53,-1.1554009859834122,0.09946150441670054
DT,54,0.09574397159939314,0.09946150441670054
DT,55,0.06582207048762172,0.09946150441670054
DT,56,0.09289722593419199,0.09946150441670054
DT,57,0.08102588096360257,0.09946150441670054
DT,58,0.09883248650844019,0.09946150441670054
DT,59,0.08403032495419689,0.09946150441670054
DT,60,0.09289722593419199,0.09946150441670054
DT,61,0.09946150441670054,0.09946150441670054
DT,62,0.09574397159939314,0.09946150441670054
DT,63,0.0962914043266652,0.09946150441670054
DT,64,0.08403032495419689,0.09946150441670054
DT,65,0.09609075580201935,0.09946150441670054
DT,66,0.06538780312528798,0.09946150441670054
DT,67,0.09289722593419199,0.09946150441670054
DT,68,0.06936554712187519,0.09946150441670054
DT,69,0.09583464077287984,0.09946150441670054
DT,70,0.09858118619051688,0.09946150441670054
DT,71,0.09946150441670054,0.09946150441670054
DT,72,0.09946150441670054,0.09946150441670054
DT,73,0.09609075580201935,0.09946150441670054
DT,74,0.09752120648252134,0.09946150441670054
DT,75,0.08102588096360257,0.09946150441670054
DT,76,0.09574397159939314,0.09946150441670054
DT,77,0.06804012516749747,0.09946150441670054
DT,78,0.06582207048762172,0.09946150441670054
DT,79,0.09858118619051688,0.09946150441670054
RF,0,0.21195868428694245,0.21195868428694245
RF,1,0.2036552544761894,0.21195868428694245
RF,2,0.23584034446366253,0.23584034446366253
RF,3,0.25136938293683203,0.25136938293683203
RF,4,0.2556144849273354,0.2556144849273354
RF,5,0.23278993949291857,0.2556144849273354
RF,6,0.26533254768043363,0.26533254768043363
RF,7,0.18304230664554355,0.26533254768043363
RF,8,0.18157029588555995,0.26533254768043363
RF,9,0.19351100059775916,0.26533254768043363
RF,10,0.1983331887595351,0.26533254768043363
RF,11,0.24572417546213943,0.26533254768043363
RF,12,0.24578319817424507,0.26533254768043363
RF,13,0.22819589980803467,0.26533254768043363
RF,14,0.26573259967811497,0.26573259967811497
RF,15,0.26733628677095567,0.26733628677095567
RF,16,0.27262110693316705,0.27262110693316705
RF,17,0.26953295335906596,0.27262110693316705
RF,18,0.2691499882161851,0.27262110693316705
RF,19,0.24328006846698969,0.27262110693316705
RF,20,0.2704791068228245,0.27262110693316705
RF,21,0.2709334602084779,0.27262110693316705
RF,22,0.258157215786755,0.27262110693316705
RF,23,0.2801653260881653,0.2801653260881653
RF,24,0.2772871699699934,0.2801653260881653
RF,25,0.2910049327990645,0.2910049327990645
RF,26,0.28143205109137664,0.2910049327990645
RF,27,0.2830439429627796,0.2910049327990645
RF,28,0.27344802585074224,0.2910049327990645
RF,29,0.2126130333895524,0.2910049327990645
RF,30,0.2562237384279327,0.2910049327990645
RF,31,0.2771110114303515,0.2910049327990645
RF,32,0.2698086355835389,0.2910049327990645
RF,33,0.27203990434743786,0.2910049327990645
RF,34,0.27912840996385463,0.2910049327990645
RF,35,0.28197954288634536,0.2910049327990645
RF,36,0.26163688684012015,0.2910049327990645
RF,37,0.2718882648723776,0.2910049327990645
RF,38,0.2753412437206388,0.2910049327990645
RF,39,0.26865812915314624,0.2910049327990645
RF,40,0.28576170492106684,0.2910049327990645
RF,41,0.28438780527941954,0.2910049327990645
RF,42,0.27920989803137924,0.2910049327990645
RF,43,0.2782974297537038,0.2910049327990645
RF,44,0.2723464470662062,0.2910049327990645
RF,45,0.2664043093908125,0.2910049327990645
RF,46,0.2590136998085211,0.2910049327990645
RF,47,0.23048921254506485,0.2910049327990645
RF,48,0.28409163030941553,0.2910049327990645
RF,49,0.2750447812159478,0.2910049327990645
RF,50,0.2765648195461583,0.2910049327990645
RF,51,0.27954161671236494,0.2910049327990645
RF,52,0.2753632460612068,0.2910049327990645
RF,53,0.28884475786214575,0.2910049327990645
RF,54,0.2776207217817507,0.2910049327990645
RF,55,0.2776897667281111,0.2910049327990645
RF,56,0.2859671094484899,0.2910049327990645
RF,57,0.27588174051254566,0.2910049327990645
RF,58,0.2929527197062463,0.2929527197062463
RF,59,0.27004679784244795,0.2929527197062463
RF,60,0.2738401971435778,0.2929527197062463
RF,61,0.284531638545932,0.2929527197062463
RF,62,0.28628761660976143,0.2929527197062463
RF,63,0.2782616250568852,0.2929527197062463
