sido,n,r2
11,100,-1.567550568892615
26,64,0.2203048545893681
27,32,0.18341436669825295
28,40,-0.32660473374363197
29,20,0.0844925268931771
30,20,0.2053256156331127
31,20,-0.7613457567018975
41,248,0.1393239557110013
43,80,0.05208029362153388
44,120,0.03849352673125206
46,176,0.00541385825664864
47,176,-0.2688266505873449
48,136,-0.27975198913642885
51,144,-0.09424564776434385
52,104,-0.1517775614540935
