train,test_sido,n,r2
capital,26,64,-0.019331885725880182
capital,27,32,0.16502689935065984
capital,29,20,-0.32559734342428315
capital,30,20,-0.1880300262678496
capital,31,20,-3.3907273092007957
capital,43,80,-0.11821212341726373
capital,44,120,-0.06347203021370573
capital,46,176,-0.2904360871555036
capital,47,176,-0.40047135555749525
capital,48,136,-1.1011874661959897
capital,51,144,-0.4916684027421625
capital,52,104,-0.7981308125960078
